FileName,LineNo,Code,FileHash,Status,Message
edk2\mdemodulepkg\library\pidxes3bootscriptlib\bootscriptexecute.c,145,C6297,56712e93857c59a7b0df8514c14dd86d,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
edk2\mdemodulepkg\library\pidxes3bootscriptlib\bootscriptexecute.c,665,C6297,56712e93857c59a7b0df8514c14dd86d,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
edk2\mdemodulepkg\library\pidxes3bootscriptlib\bootscriptexecute.c,755,C6297,56712e93857c59a7b0df8514c14dd86d,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
edk2\mdemodulepkg\override\library\pidxes3bootscriptlib\bootscriptsave.c,203,C6297,987005aaa9c2bdb5ffa25b1a1f9a410e,New,"Arithmetic overflow:  32-bit value is shifted, then cast to 64-bit value.  Results might not be an expected value."
edk2\mdepkg\library\basememorylibrepstr\copymemwrapper.c,41,C6101,13b17b145d87dc2436ad13bf16e6f448,New,"Returning uninitialized memory '*DestinationBuffer'.  A successful path through the function does not set the named _Out_ parameter. : Lines: 41, 47, 53, 54, 41"
edk2\mdepkg\library\basememorylibrepstr\memlibguid.c,44,C6001,ad2d0d536b2732fd372c91c36e13b032,New,"Using uninitialized memory 'DestinationGuid'.: Lines: 39, 44"
edk2\mdepkg\library\basememorylibrepstr\setmem16wrapper.c,57,C6001,8a8b9c210c9b7b0fff1b50409ebaeb80,New,"Using uninitialized memory 'Buffer'.: Lines: 42, 48, 57"
edk2\mdepkg\library\basememorylibrepstr\setmem32wrapper.c,57,C6001,57f20d2c9034309bbd65e9b1f1be08fe,New,"Using uninitialized memory 'Buffer'.: Lines: 42, 48, 57"
edk2\mdepkg\library\basememorylibrepstr\setmem64wrapper.c,57,C6001,aaa8254366a99c583d8e2daf35112329,New,"Using uninitialized memory 'Buffer'.: Lines: 42, 48, 57"
edk2\mdepkg\library\basememorylibrepstr\setmemwrapper.c,50,C6001,2a81b5c984f5527e84bf8533b83c3537,New,"Using uninitialized memory 'Buffer'.: Lines: 38, 44, 50"
edk2\mdepkg\library\basememorylibrepstr\setmemwrapper.c,81,C6001,2a81b5c984f5527e84bf8533b83c3537,New,"Using uninitialized memory 'Buffer'.: Lines: 74, 80, 81"
edk2\mdepkg\library\basememorylibrepstr\setmemwrapper.c,83,C6001,2a81b5c984f5527e84bf8533b83c3537,New,"Using uninitialized memory 'Buffer'.: Lines: 74, 80, 83"
edk2\mdepkg\library\basememorylibrepstr\zeromemwrapper.c,49,C6001,be343545d2e3d19cf442ee23b910ffdc,New,"Using uninitialized memory 'Buffer'.: Lines: 38, 43, 49"
edk2\mdepkg\library\dxehstilib\hstidxe.c,112,C6001,9eccf05d76f895b0bd28345280139eea,New,"Using uninitialized memory '*InformationBlock'.: Lines: 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 54, 58, 59, 60, 61, 62, 63, 68, 75, 80, 84, 85, 86, 87, 91, 93, 100, 101, 107, 111, 112, 116, 117, 62, 63, 68, 75, 80, 84, 85, 86, 87, 91, 93, 100, 101, 107, 111, 112"
